Name,UserName,Desc
Max McGill,maximilianmcgil,"Special needs youth worker based in hounslow, middlesex, london. Hounslow PHAB"
KY Voice for EC,KentuckysVoice,Kentucky's Voice for Early Childhood connects you to Kentucky's legislative decision makers.
Prichard Committee,prichardcom,"The Prichard Committee for Academic Excellence is an independent, non-profit, citizens' advocacy organization. We work to improve education for all Kentuckians"
mrgertner,mrgertner,Instructional Specialist at @roosevelthsla in @boyleheights_LA. Views on this page are personal and do not reflect the views of @laschools or @partnershipla..
College Summit LA,CollegeSummitLA,NPO partnering w/ high schools to send more students to college. Serving 5K youth in LA @ 15 HSs.
Kurt Moore,StarKurtMoore,Rebuilding Marion/education reporter at http://t.co/gprExAiOuE. Retweets do not imply endorsement. Email story leads to kdmoore@marionstar.com.
Ken Tray,KenTrayUESF,"UESF Political Director, veteran San Francisco Social Studies teacher."
Cosgrove&Associates,JMCosgrove81,Integrated Data Solutions To Improve Outcomes
robert galvan,bonggalvan,"..halina't likhain itayo ang bukas, para sa ating mga anak; ipaghanda sila ng daigdig na sagana... make this our choice."
Mommakag,mommakag,
Blue Canary,freeandclear1,You can't scare me I have #chronic #migraine #multiplechemicalsensitivity. card carrying #1u #childcare = #worthywork   RT=armchair activist amplifying
David Phelps,davidphelps,"Some men see things as they are and ask why; I dream things that never were and ask, Why Not?"
Brentt Brown,brenttbrown,
My Vocational Train.,my_voctraining,Website to help connect people to a vocational education and the support they need.
Jean Maguire,Jean_M_Maguire,
Donna Jordan,DonnaRedOx,One bad mamma jamma
Robert J. Clobes,robclobes,Teacher and a workin' progress
Kelly Bikle,kbikle,Coordinator of Professional Learning for PAUSD; Public Education Fan; Mom of two adorable redheads
MOHAMMED ILYAS KHAN,mikhan838,"Follow me if you like EDUCATION/ SCIENCE & TECHNOLOGY / BOOKS/ COMPARATIVE RELIGIONS / HOMOEOPATHY
 _ Science Teacher; Author; Erstwhile Professor"
USDLA,USDLA,"Nonprofit Distance Learning Association that supports research, development and praxis across the complete arena of education, training and communications."
Karen Stock,kstock324,Special Educator
Karen Grandoli,kgrandoli,
joe martinez,vxjoe,"Catalyst for positive change. Clerk of the Board, and past-president of the Rialto USD. Retired after 23 yrs in educational Information Systems Technology."
Annette Duffy,AnnetteDuffy51,Middle School teacher in a small school in SD. Teach Reading and History with technology!
Mission Meadows,MMMustangs,Mission Meadows home of the mustangs!
Meridian,MeridianHQ,"A nationwide firm specializing in strategic political consulting and public affairs, with offices in California, Washington, Nebraska, Arkansas and Virginia."
Jen Naylor Gesick,jengesick,Reporter turned student teacher. Native #Texan. #TxState alum. Former reporter for @MVGuam and @rcjournal. Island girl at heart.
Holly Willis,holly_willis,"Marketing @PurePharma. I tweet about #socialmedia, #crossfit, good causes & whatever sparks inspiration. My tweets are my own."
edutopia,edutopia,Inspiration and information for what works in education.
cathycardno,cathycardno,"@educationweek and @edweekcomm alum, currently writing at http://t.co/ZaONLJe4CR and @ccardno  RT ≠ endorsement"
Marc Swygert,Marc_Swygert,Director of Elementary and Middle School Programs @responsiveclass
Ann O'Connell,doctorann611,"Children: Kerry and Pat, Husband: Derm, Speech/Language Pathologist, McCabe & O'Connell Educational Consultant"
The Growing Tree,growingtreela,"Advanced reading & writing instruction for K-12.  Digital literacy, creative thinking, leadership & educational support."
Michele Woolnough,GTWHreform,"MS science teacher, advocate for at-risk students, writer, and speaker tweeting about positive changes in ed, esp in urban areas; former NYC resident"
eTeach,_eTeach,eTeach® by G2 Collective Inc. is an advanced generation of cloud-based Learning Management Systems where any teacher can become a publisher!
ReachTeachChild,reachteachchild,
"Roxana Marachi, PhD",ConnectEdProf,"Educator, Youth Advocate, Community Connector. Fascinated by intersections of Psych/Bio/Dev/Ed/Tech/Stress, Resilience, Fitness, Motivation, SEL, & Neuroscience"
AYPAL,AYPAL,
Curiously,curiouslyus,"building a community for education innovators
// tweets & opinions are of the curators"
Darin Schmidt,DarinLSchmidt,Arts ed blogger at http://t.co/YLHtGQkGcb; Dean of Students at Lakeview HS; music curriculum consultant for WestEd and the Mich. Assmt. Consortium
EWCommentary,EdweekComm,"The Commentary section of @EducationWeek, American education's newspaper of record."
Kari Arvisais,PeaceMindSpace,"Founder/CEO at Peace of Mind Space, facilitator of Integrated Leadership and Change Management.
Empowering, inspiring, creating. #leadership"
Adlah Chisti,adlahc,"Yogi berra sayings, advent socializer, comprehensivist advisor. Retweets are not endorsements."
Louise Weaver,LouiseTWeaver,"PRO and volunteer who's relocated to New York from London. Loves city life and new experiences, cares about educational issues."
bob pasternack,cmdbm,former Assistant Secretary of Education at US Dept of Education; Special Educator for over 40 years
Ashley Inman,ashleyemilia,Communications Consultant for @educationnext -- Passions: #Edu & #Edreform / Coffee / #49ers -- @inmanfamilywine Daughter -- [opinions mine]
Paulette Donnellon,sdpaulette,"School Board Member, Escondido Union School District @eusd // Director, Ed Tech Nonprofit @gooru // Ed Tech Nerd //Tweets are my own //"
HigherEdRed,HigherEdRed,"Kirsten Cuniffe, Comms Officer, @LuminaFound. Tweets: #Goal2025, #highered, @ynpnindy. Product of: @wfyi, @escrossroads, @SPEA_indy, @BallState. *views r mine*"
Pedro Salcido,PedroSalcido,
G Thang,gxracer,
"Alan Kay, Ed.D.",alanmkay,"Dad, Educator, STEM Advocate, Educational Technology, Math & Science, Principal, Linked Learning"
Councilman Gurrola,JoseGurrolaJr,"21year-old Arvin City Councilman, #YEO, CSUB Roadrunner, & Athletic Director for @BGCKC. Trying to change the world one day at a time."
Brian T Lawrence,briantlawrence,
LuisBarreraCastañón,CalGoBears,Thinker. Traveler. Cal Golden Bear. Curious. Problem Solver. TEDster. NPR Junkie. Musician. Nonprofiteer. Chapin. Blessed. Edu/WFD Professional. (M.O.V.)
Dominic Adams,DominicAdams,"Reporter covering Flint schools for The Flint Journal. Contact: 810-241-8803, dadams5@mlive.com. Fenton Elite Wrestling volunteer coach when I'm not at work."
Carol Lloyd,Carol__Lloyd,"Now Exec Editor at http://t.co/lOLDdqkm, erstwhile SF Chron columnist, This American Life contributor, & Salon editor. Wrote Creating a Life Worth Living."
Dave Nettell,DNettell,"I am the proud parent of 2 amazing adults, father-in-law, and grandparent to a 3-year-old & 6-month-old. I am a progressive educator & consultant."
Samuel Sobreira,SamuelSobreira,N/A
Rachel Sternheim,rsternheim,"Educational Consultant specializing in literacy, Hebrew & Jewish education with a focus in gifted and talented education"
Greg Manzi,gmanzi8,
myIGDIs,myIGDIs,myIGDIs are a set of research-based indicators that enable early childhood educators and parents to monitor the growth and development of their young children.
Dorie Carolyn,BlueLarkspur,"Director of Admission, Grad Student, Mom, Writer, Runner, Swimmer, Hiker, Photographer, Music and Food Lover!"
Cecilia Perez,PerezTortugas71,
Jill Watkins,jillwatkins1010,"Avid runner, biker, and reader; love to spend time with husband and dachshunds; always an Instructional Technology Facilitator; Middle-Level Assistant Principal"
Shannon Hovis,Shovini22,
Andrea Koskey,koskey_ca,I have a curiousity in all that's around me. I like to ask questions and pass along important news. Opinions expressed here are my own
No Fumar Es Actitud,nofumaractitud,
tara aderman ,t1l2a3,
"Dr.DebraHarper,Ed.D.",DebHarper,Middle School Teacher & CEO/Owner of Harper Learning Company.
LAUP,LAUP4kids,"Los Angeles Universal Preschool (LAUP) is a non-profit providing access to quality, free or low-cost preschool education to the children of Los Angeles County."
Kathleen Frazer,PSA_Principal,
Michelle Eklund,WorkingPRMama,"Award-winning communications executive for @CaliforniaPTA, reality TV junkie, outdoor enthusiast and Mommy to a TaeKwonDo superstar! Tweets are mine."
Shabang Theatre,shabangtheatre,Kim Reuter and Russ Elias are SHABANG! Winners of a National Diversity Award 2014.Creating  arts projects for children  with disabilities/additional needs
Academic Earth,academicearth,Online courses from leading universities.
Brad Stam ,BStam_ConnectEd,"Vice President, ConnectEd (@ConnectEdOrg) Loves food, people and birds"
Leadership360,Myers_Berkowicz,Leadership is an art and a science.  We are interested in sharing info and offering new ways of thinking for those daring to lead.
"Joyce Hinkson, Ed.D.",OtanJoyce,"Director, Outreach and Technical Assistance Network (OTAN), I tweet about Adult Education, Literacy, Edtech, Online and Blended Learning."
Jennifer Hastings,pipperoos,
Fuse Corps,FuseCorps,"Want to make your city + state government work better, faster and smarter? Be a catalyst for change. Join us!"
Donna Krache,DonnaKrache,"Journalist, educator and sports fanatic. Former Executive Producer. Proud graduate of the College of William & Mary. Retweets are not endorsement."
Andrea Jamason,AndreaJamason,"Elementary school teacher, wife and mom - 
with an affinity for great Tweets, Pinterest and red wine."
Laura Dziekiewicz,MoveTherapy,Psychotherapy | Nutrition Counseling | Holistic Health & Wellness | Helping 20somethings + 30somethings develop healthy habits + build fulfilling relationships.
CA,ca_follower,
John Arrona,johnarrona,
Mr. Matthew Lindner,TheMrMLindner,"Assistant Principal at Jordan Middle School, #PAUSD. Lead, learn, read, write, kayak. MN native. Currently living in BETA."
Public Profit,Public_Profit,"Measure and manage what matters! Public Profit provides evaluation consulting services to nonprofits, schools, cities..."
batistuta'nkamon ,sakallibebek,
Quana R. Madison,QuanaRochelle,Researcher. Education Policy Analyst. Social Change Agent. Global Engagement Advocate. PhD candidate in Ed. Policy. Leadership/Management/Business Thinker.
anarfos,Anarfos,"we are genius of this world and we can make all that God want it to do we are Anarfos sponsor of the truth"
SEIU Local 99,SEIULocal99,EDUCATION WORKERS UNITED
Cathy Grimes,cathgrimes,"I'm the communications manager for the Virginia Tech Graduate School, a  happily transplanted UW Husky living in the land of Hokies."
Marketing Elf,MatthewMHodges,"As we, The Story Elves, craft original stories and contemplate our story-making process, we also follow the other paths to good stories and story makers..."
Erica Huls,auggie21,Midwestern transplant looking for life and love in the big city. Educator. Photog. Cat lover. Friend.
YDN,ydnetwork,Envisions communities w/ youth who can achieve personal & academic success; a positive vision of their future & grow up to be productive & civic-minded adults.
YolandaOTAN,YolandaOTAN,
StudentsFirst CA,StudentsFirstCA,The official California Twitter feed for @StudentsFirst: a movement to transform public education. http://t.co/2bJF7byG18
Tamara Kelley,TamaraKelley12,
Bill_Jackson,Bill_Jackson,"CEO at GreatSchools, Standing up http://t.co/4Gey3HEslA , Dad, Noe Valleyan, runner, optimist, advocate for parent ownership of education"
